[judge-lab] 1/6 full-majority N=1699 p=0.4497 auroc=0.8070827617101101
[judge-lab] 2/6 thin-p05-majority N=984 p=0.0498 auroc=0.8025755756848194
[judge-lab] 3/6 thin-p02-majority N=954 p=0.0199 auroc=0.7889389248522376
[judge-lab] 4/6 full-conservative N=1699 p=0.6828 auroc=0.791902309513147
[judge-lab] 5/6 thin-p05-conservative N=567 p=0.0494 auroc=0.8170553935860059
[judge-lab] 6/6 thin-p02-conservative N=550 p=0.0200 auroc=0.8365660313712262
judge-lab seed=judge-bound-lab-v0 reps=2000 joined=1699 auroc_majority=0.8070827617101101
populations
pop_id                |    N | true_p |  auroc
----------------------+------+--------+-------
thin-p02-majority     | 100 | strat-judge-proportional | 1.0000 |   0.1035 |   True
thin-p02-majority     | 100 |   strat-judge-flag-heavy | 1.0000 |   0.1283 |   True
thin-p02-majority     | 100 |              ppi++-judge | 0.8820 |   0.0408 |  False
thin-p02-majority     | 200 |       srs-hypergeometric | 0.9900 |   0.0428 |   True
thin-p02-majority     | 200 |        rogan-gladen-boot | 0.9895 |   0.5770 |   True
thin-p02-majority     | 200 |       calibrated-fnr-fpr | 1.0000 |   0.9448 |   True
thin-p02-majority     | 200 | strat-judge-proportional | 1.0000 |   0.0684 |   True
thin-p02-majority     | 200 |   strat-judge-flag-heavy | 1.0000 |   0.0807 |   True
thin-p02-majority     | 200 |              ppi++-judge | 0.9380 |   0.0358 |  False
full-conservative     |  30 |       srs-hypergeometric | 0.9695 |   0.8172 |   True
full-conservative     |  30 |        rogan-gladen-boot | 0.9605 |   0.9430 |   True
full-conservative     |  30 |       calibrated-fnr-fpr | 0.9990 |   0.9928 |   True
full-conservative     |  30 | strat-judge-proportional | 0.9975 |   0.8625 |   True
full-conservative     |  30 |   strat-judge-flag-heavy | 0.9960 |   0.8897 |   True
full-conservative     |  30 |              ppi++-judge | 0.9430 |   0.8064 |  False
full-conservative     |  50 |       srs-hypergeometric | 0.9520 |   0.7860 |   True
full-conservative     |  50 |        rogan-gladen-boot | 0.9485 |   0.9159 |  False
full-conservative     |  50 |       calibrated-fnr-fpr | 0.9985 |   0.9792 |   True
full-conservative     |  50 | strat-judge-proportional | 0.9985 |   0.8306 |   True
full-conservative     |  50 |   strat-judge-flag-heavy | 0.9965 |   0.8534 |   True
full-conservative     |  50 |              ppi++-judge | 0.9485 |   0.7774 |  False
full-conservative     | 100 |       srs-hypergeometric | 0.9540 |   0.7571 |   True
full-conservative     | 100 |        rogan-gladen-boot | 0.9565 |   0.8714 |   True
full-conservative     | 100 |       calibrated-fnr-fpr | 0.9990 |   0.9421 |   True
full-conservative     | 100 | strat-judge-proportional | 0.9985 |   0.7932 |   True
full-conservative     | 100 |   strat-judge-flag-heavy | 0.9985 |   0.8109 |   True
full-conservative     | 100 |              ppi++-judge | 0.9625 |   0.7519 |   True
full-conservative     | 200 |       srs-hypergeometric | 0.9595 |   0.7343 |   True
full-conservative     | 200 |        rogan-gladen-boot | 0.9585 |   0.8188 |   True
full-conservative     | 200 |       calibrated-fnr-fpr | 0.9995 |   0.8863 |   True
full-conservative     | 200 | strat-judge-proportional | 0.9985 |   0.7619 |   True
full-conservative     | 200 |   strat-judge-flag-heavy | 0.9980 |   0.7747 |   True
full-conservative     | 200 |              ppi++-judge | 0.9605 |   0.7319 |   True
thin-p05-conservative |  30 |       srs-hypergeometric | 1.0000 |   0.1680 |   True
thin-p05-conservative |  30 |        rogan-gladen-boot | 0.9880 |   0.6283 |   True
thin-p05-conservative |  30 |       calibrated-fnr-fpr | 1.0000 |   0.9967 |   True
thin-p05-conservative |  30 | strat-judge-proportional | 1.0000 |   0.2676 |   True
thin-p05-conservative |  30 |   strat-judge-flag-heavy | 1.0000 |   0.3631 |   True
thin-p05-conservative |  30 |              ppi++-judge | 0.7915 |   0.1011 |  False
thin-p05-conservative |  50 |       srs-hypergeometric | 1.0000 |   0.1287 |   True
thin-p05-conservative |  50 |        rogan-gladen-boot | 0.9805 |   0.5890 |   True
thin-p05-conservative |  50 |       calibrated-fnr-fpr | 1.0000 |   0.9793 |   True
thin-p05-conservative |  50 | strat-judge-proportional | 1.0000 |   0.2017 |   True
thin-p05-conservative |  50 |   strat-judge-flag-heavy | 1.0000 |   0.2614 |   True
thin-p05-conservative |  50 |              ppi++-judge | 0.8890 |   0.0922 |  False
thin-p05-conservative | 100 |       srs-hypergeometric | 0.9715 |   0.0972 |   True
thin-p05-conservative | 100 |        rogan-gladen-boot | 0.9850 |   0.5022 |   True
thin-p05-conservative | 100 |       calibrated-fnr-fpr | 1.0000 |   0.8776 |   True
thin-p05-conservative | 100 | strat-judge-proportional | 1.0000 |   0.1429 |   True
thin-p05-conservative | 100 |   strat-judge-flag-heavy | 1.0000 |   0.1730 |   True
thin-p05-conservative | 100 |              ppi++-judge | 0.9020 |   0.0823 |  False
thin-p05-conservative | 200 |       srs-hypergeometric | 0.9680 |   0.0774 |   True
thin-p05-conservative | 200 |        rogan-gladen-boot | 0.9865 |   0.2656 |   True
thin-p05-conservative | 200 |       calibrated-fnr-fpr | 1.0000 |   0.5834 |   True
thin-p05-conservative | 200 | strat-judge-proportional | 1.0000 |   0.1079 |   True
